regressor,model,fold,r2,rmse,mae
LASSO,A,1,0.445564,0.752291,0.513474
LASSO,A,2,0.39582,0.644498,0.486571
LASSO,A,3,0.28735,0.792545,0.579229
LASSO,A,4,0.403345,0.663369,0.523628
LASSO,A,5,0.423153,0.699295,0.510214
LASSO,B,1,0.489162,0.722107,0.507931
LASSO,B,2,0.382125,0.651762,0.482689
LASSO,B,3,0.342721,0.761133,0.572134
LASSO,B,4,0.476366,0.621452,0.488284
LASSO,B,5,0.428065,0.696311,0.499706
LASSO,C,1,0.538223,0.686556,0.480313
LASSO,C,2,0.429296,0.626389,0.479474
LASSO,C,3,0.329413,0.7688,0.566375
LASSO,C,4,0.518558,0.595889,0.46084
LASSO,C,5,0.462954,0.674739,0.498994
Ridge,A,1,0.447247,0.751148,0.515812
Ridge,A,2,0.392477,0.646279,0.488092
Ridge,A,3,0.284172,0.79431,0.580711
Ridge,A,4,0.402149,0.664033,0.524715
Ridge,A,5,0.423199,0.699267,0.510162
Ridge,B,1,0.485992,0.724344,0.511852
Ridge,B,2,0.356639,0.665068,0.493759
Ridge,B,3,0.328352,0.769408,0.577437
Ridge,B,4,0.461231,0.630369,0.500385
Ridge,B,5,0.427869,0.69643,0.500403
Ridge,C,1,0.531256,0.691716,0.489147
Ridge,C,2,0.40973,0.637036,0.486394
Ridge,C,3,0.320652,0.773806,0.567405
Ridge,C,4,0.500226,0.607128,0.472009
Ridge,C,5,0.427138,0.696875,0.520812
XGBoost,A,1,0.433259,0.760593,0.536783
XGBoost,A,2,0.41869,0.632183,0.465527
XGBoost,A,3,0.241834,0.817462,0.600022
XGBoost,A,4,0.40881,0.660324,0.517105
XGBoost,A,5,0.371361,0.730013,0.533912
